height,nonce
1662071,754
1662072,1926026327
1662073,2196528342
1662074,1054808
1662075,931423
1662076,48803
1662077,1804124
1662078,6369999
1662079,1789584105
1662080,470340
1662081,37177
1662082,639039
1662083,628166
1662084,781975
1662085,1957
1662086,13698
1662087,59638
1662088,2634820720
1662089,10550129
1662090,735
1662091,507825
1662092,5353
1662093,2516620028
1662094,2603431896
1662095,23473846
1662096,638913990
1662097,1073777254
1662098,346551
1662099,13428089
1662100,8987
1662101,10066608
1662102,526134463
1662103,2528907963
1662104,256376
1662105,38817
1662106,2405698410
1662107,8749
1662108,3664
1662109,206999445
1662110,224493
1662111,654661259
1662112,3623887556
1662113,4270
1662114,447246
1662115,5564
1662116,345825094
1662117,7442
1662118,797518
1662119,1627785728
1662120,19568
1662121,2185172
1662122,2943084
1662123,90810
1662124,417445
1662125,12
1662126,84300
1662127,1820328117
1662128,2533566035
1662129,1789585055
1662130,48684
1662131,8867
1662132,859001395
1662133,11489
1662134,3221225625
1662135,1711812539
1662136,183533
1662137,59495
1662138,3338746215
1662139,15733525
1662140,53215
1662141,185531510
1662142,8432846
1662143,4081342865
1662144,3338670139
1662145,1052732
1662146,4986
1662147,3573548416
1662148,44278
1662149,1286754
1662150,16777577
1662151,1938400
1662152,536896121
1662153,2164887842
1662154,9905
1662155,2284950114
1662156,33673399
1662157,178
1662158,2870329083
1662159,31084
1662160,6536
1662161,1431661079
1662162,784336510
1662163,733164763
1662164,2718256523
1662165,1124080402
1662166,10370
1662167,1194
1662168,6792524
1662169,2880088967
1662170,655711477
1662171,2290649790
1662172,1202
1662173,1431685218
1662174,319555
1662175,3137423578
1662176,70317
