"name","archive_version","nrt","height","nonce","deltart"
"frankfurt",8,"1539786016727","1684910","3682599243","63"
"frankfurt",8,"1539817230131","1685154","5647072","34"
"london",7,"1539817230235","1685154","5647072","34"
"nyc",8,"1539817230968","1685154","520450","75"
"nyc",8,"1539817258189","1685155","151043453","29"
"frankfurt",8,"1539822233037","1685179","978671399","16"
"frankfurt",8,"1539822233112","1685179","978671399","16"
"frankfurt",8,"1539822233192","1685179","978671399","16"
"frankfurt",8,"1539822233275","1685179","978671399","16"
"frankfurt",8,"1539822233444","1685179","978671399","16"
"frankfurt",8,"1539822233524","1685179","978671399","16"
"nyc",8,"1539822234122","1685179","978671399","17"
"london",7,"1539822234278","1685179","978671399","17"
"nyc",8,"1539822234618","1685179","978671399","17"
"london",7,"1539822235022","1685179","978671399","18"
"frankfurt",8,"1539955302882","1686040","2986352381","51"
"frankfurt",8,"1539970531300","1686192","4178028977","363"
"frankfurt",8,"1539992890071","1686440","977276186","9"
"nyc",8,"1539992890409","1686440","977276186","9"
"frankfurt",8,"1540019821940","1686679","3221226462","267"
"frankfurt",8,"1540028047412","1686758","5592982","22"
"frankfurt",8,"1540076126290","1687132","594","152"
"frankfurt",8,"1540078454521","1687146","2435573541","82"
"nyc",8,"1540078485671","1687146","2435573541","113"
"frankfurt",8,"1540078454657","1687147","24656","34"
"nyc",8,"1540078485877","1687147","24656","65"
"frankfurt",8,"1540123508552","1687562","13068","83"
"nyc",8,"1540123512634","1687562","13068","87"
"frankfurt",8,"1540123508398","1687563","1188097","61"
"frankfurt",8,"1540123508474","1687563","1188097","61"
"frankfurt",8,"1540123508672","1687563","1188097","61"
"nyc",8,"1540123510129","1687563","1188097","63"
"nyc",8,"1540123512783","1687563","1188097","65"
"frankfurt",8,"1540310994703","1689110","766960471","54"
"nyc",8,"1540310995230","1689110","766960471","55"
"nyc",8,"1540359302849","1689529","64483","36"
"frankfurt",8,"1540359303026","1689529","64483","37"
"nyc",8,"1540359344000","1689530","74245","42"
"frankfurt",8,"1540359344310","1689530","74245","43"
"frankfurt",8,"1540395120587","1689850","3006502765","34"
"nyc",8,"1540395121721","1689850","3006502765","35"
"tokyo",8,"1543127519515","1689850","928360245","2732433"
"frankfurt",8,"1540395140289","1689851","161183","20"
"nyc",8,"1540395140752","1689851","161183","20"
"frankfurt",8,"1540408125916","1689958","1218462381","387"
"nyc",8,"1540408126647","1689958","1218462381","388"
"frankfurt",8,"1540408216651","1689959","2147495102","30"
"nyc",8,"1540408216888","1689959","2147495102","30"
"frankfurt",8,"1540426630580","1690092","1343257","57"
"nyc",8,"1540426631456","1690092","8469719","58"
"frankfurt",8,"1540426648421","1690093","17545","19"
"frankfurt",8,"1540434396674","1690156","3338933745","235"
"frankfurt",8,"1540476480270","1690530","2650876101","50"
"nyc",8,"1540476481103","1690530","2650876101","51"
"frankfurt",8,"1540538354400","1691055","23026","129"
"frankfurt",8,"1540538587074","1691056","69712","234"
"frankfurt",8,"1540562155821","1691260","36698","70"
"nyc",8,"1540562157449","1691260","1431657705","12"
"nyc",8,"1540562173195","1691261","3976201219","19"
"frankfurt",8,"1540611669127","1691436","385934756","28562"
"frankfurt",8,"1540611669242","1691437","218306523","28348"
"frankfurt",8,"1540732372180","1691820","13452396","99042"
"frankfurt",8,"1540732372743","1691821","14740455","96607"
"frankfurt",8,"1540732372980","1691822","9935211","93814"
"frankfurt",8,"1540732373085","1691823","44161916","91949"
"frankfurt",8,"1540732373210","1691824","10982957","83682"
"frankfurt",8,"1540732373279","1691825","52037695","81687"
"frankfurt",8,"1540732373349","1691826","36552294","72245"
"frankfurt",8,"1540732373414","1691827","8442559","65538"
"frankfurt",8,"1540732373469","1691828","2270577","64010"
"frankfurt",8,"1540732373525","1691829","3248749","63505"
"frankfurt",8,"1540732373584","1691830","6490543","62917"
"frankfurt",8,"1540732373654","1691831","27033238","61688"
"frankfurt",8,"1540732373736","1691832","10829397","56725"
"frankfurt",8,"1540732373799","1691833","4137154","54694"
"frankfurt",8,"1540732373860","1691834","4098479","53904"
"frankfurt",8,"1540732373912","1691835","20696694","53108"
"frankfurt",8,"1540732373971","1691836","19293138","49178"
"frankfurt",8,"1540732374045","1691837","13079603","45531"
"frankfurt",8,"1540732374121","1691838","24780381","43114"
"frankfurt",8,"1540732374191","1691839","12619739","38581"
"frankfurt",8,"1540732374349","1691840","226799","36288"
"frankfurt",8,"1540732374414","1691841","2375941","36149"
"frankfurt",8,"1540732374504","1691842","7321486","34336"
"frankfurt",8,"1540732374596","1691843","23844075","26208"
"frankfurt",8,"1540732374654","1691844","23751807","21841"
"frankfurt",8,"1540732374738","1691845","211533","17504"
"frankfurt",8,"1540732374801","1691846","17594725","17442"
"frankfurt",8,"1540732374865","1691847","18691783","14141"
"frankfurt",8,"1540732374939","1691848","29222","10739"
"frankfurt",8,"1540732375004","1691849","6353683","10719"
"frankfurt",8,"1540732375064","1691850","73529","9547"
"frankfurt",8,"1540732375127","1691851","249135","9519"
"frankfurt",8,"1540732375206","1691852","196952","9475"
"frankfurt",8,"1540732375285","1691853","8294469","9411"
"frankfurt",8,"1540732375379","1691854","26632223","7891"
"frankfurt",8,"1540732375516","1691855","2763191","3003"
"frankfurt",8,"1540726375516","1692112","2007841361","60192"
"frankfurt",8,"1540726376388","1692113","867200410","33161"
"frankfurt",8,"1540726376646","1692114","1069636901","21733"
"frankfurt",8,"1540802606821","1693226","1073761977","53"
"nyc",8,"1540802608143","1693226","1073761977","55"
"frankfurt",8,"1540818056719","1693359","3003129953","148"
"nyc",8,"1540818057943","1693359","3003129953","149"
"frankfurt",8,"1540818606444","1693361","2037599","483"
"frankfurt",8,"1540819920425","1693374","536895601","112"
"nyc",8,"1540819921463","1693374","536895601","113"
"nyc",8,"1540829947260","1693458","4228836","28"
"frankfurt",8,"1540947204384","1694472","3900708568","24"
